run_id	status	track	engine_mode	reflection_lm	budget	holdout_budget	seed	leakage_passed	seed_current_joint_acc	seed_temporal_joint_acc	seed_multi_hop_joint_acc	seed_answerable_accuracy	seed_abstain_precision	seed_abstain_recall	seed_false_abstain_penalty	best_current_joint_acc	best_temporal_joint_acc	best_multi_hop_joint_acc	best_answerable_accuracy	best_abstain_precision	best_abstain_recall	best_false_abstain_penalty	seed_holdout_joint_acc	best_holdout_joint_acc	seed_holdout_answerable_accuracy	best_holdout_answerable_accuracy	best_candidate_name	report_path
20260317-171352	benchmark_candidate		custom_proposer		64		13	1	0.066667	0.133333	0.266667	0.170213	0.111111	0.058824	0.170213	0.066667	0.133333	0.266667	0.170213	0.111111	0.058824	0.170213					seed	gepa_runs/20260317-171352/report.md
20260317-183656	benchmark_candidate		custom_proposer		32		13	1	0.142857	0.142857	0.285714	0.208333	0.250000	0.125000	0.125000	0.142857	0.142857	0.285714	0.208333	0.250000	0.125000	0.125000					gepa_best	gepa_runs/20260317-183656/report.md
20260317-191051	benchmark_candidate		custom_proposer		32		13	1	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000					gepa_best	gepa_runs/20260317-191051/report.md
20260317-191147	benchmark_candidate		custom_proposer		32		13	1	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000					gepa_best	gepa_runs/20260317-191147/report.md
20260317-191217	benchmark_candidate		custom_proposer		32		13	1	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000					gepa_best	gepa_runs/20260317-191217/report.md
20260317-193436	benchmark_candidate		reflection_lm:openrouter/nvidia/nemotron-3-super-120b-a12b:free	openrouter/nvidia/nemotron-3-super-120b-a12b:free	32		13	1	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000	0.285714	0.285714	0.142857	0.166667	0.333333	0.750000	0.500000					gepa_best	gepa_runs/20260317-193436/report.md
20260317-200604	benchmark_candidate	mode_abstain	custom_proposer		24	12	13	1	0.000000	0.000000	0.000000	0.000000	0.312500	0.833333	0.611111	0.000000	0.000000	0.000000	0.000000	0.312500	0.833333	0.611111	0.333333	0.333333	0.111111	0.111111	gepa_best	gepa_runs/20260317-200604/report.md
20260317-200630	benchmark_candidate	temporal_selection	custom_proposer		24	12	13	1	0.083333	0.250000	0.000000	0.047619	0.214286	1.000000	0.523810	0.083333	0.250000	0.000000	0.047619	0.214286	1.000000	0.523810	0.083333	0.083333	0.000000	0.000000	gepa_best	gepa_runs/20260317-200630/report.md
20260317-201030	benchmark_candidate	mode_abstain	reflection_lm:openrouter/nvidia/nemotron-3-super-120b-a12b:free	openrouter/nvidia/nemotron-3-super-120b-a12b:free	48	24	13	1	0.000000	0.083333	0.000000	0.000000	0.324324	0.857143	0.735294	0.000000	0.083333	0.000000	0.000000	0.324324	0.857143	0.735294	0.250000	0.250000	0.000000	0.000000	gepa_best	gepa_runs/20260317-201030/report.md
20260317-201218	benchmark_candidate	temporal_selection	reflection_lm:openrouter/nvidia/nemotron-3-super-120b-a12b:free	openrouter/nvidia/nemotron-3-super-120b-a12b:free	48	24	13	1	0.041667	0.208333	0.000000	0.066667	0.107143	1.000000	0.555556	0.041667	0.208333	0.000000	0.066667	0.107143	1.000000	0.555556	0.083333	0.083333	0.043478	0.043478	gepa_best	gepa_runs/20260317-201218/report.md
20260317-202712	benchmark_candidate	temporal_selection	reflection_lm:openrouter/nvidia/nemotron-3-super-120b-a12b:free	openrouter/nvidia/nemotron-3-super-120b-a12b:free	32	16	13	1	0.062500	0.250000	0.000000	0.068966	0.157895	1.000000	0.551724	0.062500	0.250000	0.000000	0.068966	0.157895	1.000000	0.551724	0.062500	0.062500	0.000000	0.000000	gepa_best	gepa_runs/20260317-202712/report.md
